dataset,failure_time_epoch,recovery_start_epoch,static_path_exposed,time_aware_affected,protected,unprotected,recovery_flow_link_epochs,recovery_occupied_link_epochs,final_epoch,solver_status,solver_mip_gap,solver_runtime,schedule_file
DCN4WAN,1,2,30,30,30,0,18,18,18,OPTIMAL,0.0,1.1828510761260986,teccl/examples/results/failure_time_sensitivity/schedules/dcn4wan_deferred_failure_epoch_1.json
DCN4WAN,2,3,30,20,20,0,18,18,18,OPTIMAL,0.0,0.9675018787384033,teccl/examples/results/failure_time_sensitivity/schedules/dcn4wan_deferred_failure_epoch_2.json
DCN4WAN,3,4,30,20,20,0,18,18,18,OPTIMAL,0.0,0.9986491203308105,teccl/examples/results/failure_time_sensitivity/schedules/dcn4wan_deferred_failure_epoch_3.json
DCN4WAN,4,5,30,9,9,0,4,4,18,OPTIMAL,7.469905617826305e-05,0.8501901626586914,teccl/examples/results/failure_time_sensitivity/schedules/dcn4wan_deferred_failure_epoch_4.json
DCN4WAN,5,6,30,8,8,0,4,4,18,OPTIMAL,7.469905617826305e-05,0.7905430793762207,teccl/examples/results/failure_time_sensitivity/schedules/dcn4wan_deferred_failure_epoch_5.json
DCN4WAN,6,7,30,5,5,0,2,2,18,OPTIMAL,0.00014331771793414503,0.772130012512207,teccl/examples/results/failure_time_sensitivity/schedules/dcn4wan_deferred_failure_epoch_6.json
DCN4WAN,7,8,30,5,5,0,2,2,18,OPTIMAL,0.00014331771793414503,0.7856099605560303,teccl/examples/results/failure_time_sensitivity/schedules/dcn4wan_deferred_failure_epoch_7.json
DCN4WAN,8,9,30,4,4,0,0,0,8,OPTIMAL,0.0,0.5434539318084717,teccl/examples/results/failure_time_sensitivity/schedules/dcn4wan_deferred_failure_epoch_8.json
InterDC8,1,2,102,102,102,0,56,56,30,OPTIMAL,0.0,0.3299109935760498,teccl/examples/results/failure_time_sensitivity/schedules/interdc8_deferred_failure_epoch_1.json
InterDC8,2,3,102,49,49,0,41,41,30,OPTIMAL,0.0,0.3005239963531494,teccl/examples/results/failure_time_sensitivity/schedules/interdc8_deferred_failure_epoch_2.json
InterDC8,3,4,102,48,48,0,40,40,30,OPTIMAL,0.0,0.32095885276794434,teccl/examples/results/failure_time_sensitivity/schedules/interdc8_deferred_failure_epoch_3.json
InterDC8,4,5,102,39,39,0,34,34,30,OPTIMAL,0.0,0.2571101188659668,teccl/examples/results/failure_time_sensitivity/schedules/interdc8_deferred_failure_epoch_4.json
InterDC8,5,6,102,39,39,0,34,34,30,OPTIMAL,0.0,0.22520685195922852,teccl/examples/results/failure_time_sensitivity/schedules/interdc8_deferred_failure_epoch_5.json
InterDC8,6,7,102,27,27,0,25,25,30,OPTIMAL,0.0,0.2073531150817871,teccl/examples/results/failure_time_sensitivity/schedules/interdc8_deferred_failure_epoch_6.json
InterDC8,7,8,102,16,16,0,16,16,30,OPTIMAL,0.0007206621588055717,0.34918904304504395,teccl/examples/results/failure_time_sensitivity/schedules/interdc8_deferred_failure_epoch_7.json
InterDC8,8,9,102,10,10,0,10,10,30,OPTIMAL,0.0006590468809849804,0.19941496849060059,teccl/examples/results/failure_time_sensitivity/schedules/interdc8_deferred_failure_epoch_8.json
InterDC8,9,10,102,5,5,0,5,5,30,OPTIMAL,0.0,0.1693410873413086,teccl/examples/results/failure_time_sensitivity/schedules/interdc8_deferred_failure_epoch_9.json
InterDC8,10,11,102,2,2,0,2,2,30,OPTIMAL,0.0,0.1988539695739746,teccl/examples/results/failure_time_sensitivity/schedules/interdc8_deferred_failure_epoch_10.json
InterDC8,11,12,102,0,0,0,0,0,11,OPTIMAL,0.0,0.11637711524963379,teccl/examples/results/failure_time_sensitivity/schedules/interdc8_deferred_failure_epoch_11.json
