topology,policy,role,detection_delay_epochs,detection_delay_seconds,failure_epoch_zero_based,solver_status,solver_runtime_seconds,solver_mip_gap,failure_model,input_file,status_file,classification,failure_scenarios,affected_scenarios,affected_demands,protected_demands,unprotected_demands,recovery_flows,audit_passed,fixed_plan_verified,audit_failures,schedule_file
DCN4WAN,DPP,boundary,6,12.0,0,OPTIMAL,0.29593992233276367,,EXACT,teccl/examples/results/multicast_tree_pair_physical_25gb/detection_delay_boundary/inputs/dcn4wan_dpp_delay_6_tau_0_boundary.json,teccl/examples/results/multicast_tree_pair_physical_25gb/detection_delay_boundary/status/dcn4wan_dpp_delay_6_tau_0_boundary.json,FEASIBLE,32,24,32,32,0,96,True,True,,teccl/examples/results/multicast_tree_pair_physical_25gb/detection_delay_boundary/schedules/dcn4wan_dpp_delay_6_tau_0_boundary.json
DCN4WAN,DPP,boundary,6,12.0,1,OPTIMAL,0.24769306182861328,,EXACT,teccl/examples/results/multicast_tree_pair_physical_25gb/detection_delay_boundary/inputs/dcn4wan_dpp_delay_6_tau_1_boundary.json,teccl/examples/results/multicast_tree_pair_physical_25gb/detection_delay_boundary/status/dcn4wan_dpp_delay_6_tau_1_boundary.json,FEASIBLE,32,16,20,20,0,64,True,True,,teccl/examples/results/multicast_tree_pair_physical_25gb/detection_delay_boundary/schedules/dcn4wan_dpp_delay_6_tau_1_boundary.json
DCN4WAN,DPP,boundary,6,12.0,2,OPTIMAL,0.2493419647216797,,EXACT,teccl/examples/results/multicast_tree_pair_physical_25gb/detection_delay_boundary/inputs/dcn4wan_dpp_delay_6_tau_2_boundary.json,teccl/examples/results/multicast_tree_pair_physical_25gb/detection_delay_boundary/status/dcn4wan_dpp_delay_6_tau_2_boundary.json,FEASIBLE,32,12,12,12,0,40,True,True,,teccl/examples/results/multicast_tree_pair_physical_25gb/detection_delay_boundary/schedules/dcn4wan_dpp_delay_6_tau_2_boundary.json
DCN4WAN,DPP,boundary,6,12.0,3,OPTIMAL,0.26158690452575684,,EXACT,teccl/examples/results/multicast_tree_pair_physical_25gb/detection_delay_boundary/inputs/dcn4wan_dpp_delay_6_tau_3_boundary.json,teccl/examples/results/multicast_tree_pair_physical_25gb/detection_delay_boundary/status/dcn4wan_dpp_delay_6_tau_3_boundary.json,FEASIBLE,32,4,4,4,0,16,True,True,,teccl/examples/results/multicast_tree_pair_physical_25gb/detection_delay_boundary/schedules/dcn4wan_dpp_delay_6_tau_3_boundary.json
DCN4WAN,DPP,next_delay_witness,7,14.0,3,INFEASIBLE,0.22402286529541016,,EXACT,teccl/examples/results/multicast_tree_pair_physical_25gb/detection_delay_boundary/inputs/dcn4wan_dpp_delay_7_tau_3_next_delay_witness.json,teccl/examples/results/multicast_tree_pair_physical_25gb/detection_delay_boundary/status/dcn4wan_dpp_delay_7_tau_3_next_delay_witness.json,INFEASIBLE,0,0,0,,,0,False,False,,
DCN4WAN,DDPP,boundary,21,42.0,0,OPTIMAL,0.2724320888519287,,EXACT,teccl/examples/results/multicast_tree_pair_physical_25gb/detection_delay_boundary/inputs/dcn4wan_ddpp_delay_21_tau_0_boundary.json,teccl/examples/results/multicast_tree_pair_physical_25gb/detection_delay_boundary/status/dcn4wan_ddpp_delay_21_tau_0_boundary.json,FEASIBLE,32,24,32,32,0,96,True,True,,teccl/examples/results/multicast_tree_pair_physical_25gb/detection_delay_boundary/schedules/dcn4wan_ddpp_delay_21_tau_0_boundary.json
DCN4WAN,DDPP,boundary,21,42.0,1,OPTIMAL,0.256450891494751,,EXACT,teccl/examples/results/multicast_tree_pair_physical_25gb/detection_delay_boundary/inputs/dcn4wan_ddpp_delay_21_tau_1_boundary.json,teccl/examples/results/multicast_tree_pair_physical_25gb/detection_delay_boundary/status/dcn4wan_ddpp_delay_21_tau_1_boundary.json,FEASIBLE,32,16,20,20,0,64,True,True,,teccl/examples/results/multicast_tree_pair_physical_25gb/detection_delay_boundary/schedules/dcn4wan_ddpp_delay_21_tau_1_boundary.json
DCN4WAN,DDPP,boundary,21,42.0,2,OPTIMAL,0.26584696769714355,,EXACT,teccl/examples/results/multicast_tree_pair_physical_25gb/detection_delay_boundary/inputs/dcn4wan_ddpp_delay_21_tau_2_boundary.json,teccl/examples/results/multicast_tree_pair_physical_25gb/detection_delay_boundary/status/dcn4wan_ddpp_delay_21_tau_2_boundary.json,FEASIBLE,32,12,12,12,0,40,True,True,,teccl/examples/results/multicast_tree_pair_physical_25gb/detection_delay_boundary/schedules/dcn4wan_ddpp_delay_21_tau_2_boundary.json
DCN4WAN,DDPP,boundary,21,42.0,3,OPTIMAL,0.2500951290130615,,EXACT,teccl/examples/results/multicast_tree_pair_physical_25gb/detection_delay_boundary/inputs/dcn4wan_ddpp_delay_21_tau_3_boundary.json,teccl/examples/results/multicast_tree_pair_physical_25gb/detection_delay_boundary/status/dcn4wan_ddpp_delay_21_tau_3_boundary.json,FEASIBLE,32,4,4,4,0,16,True,True,,teccl/examples/results/multicast_tree_pair_physical_25gb/detection_delay_boundary/schedules/dcn4wan_ddpp_delay_21_tau_3_boundary.json
DCN4WAN,DDPP,next_delay_witness,22,44.0,3,INFEASIBLE,0.31872105598449707,,EXACT,teccl/examples/results/multicast_tree_pair_physical_25gb/detection_delay_boundary/inputs/dcn4wan_ddpp_delay_22_tau_3_next_delay_witness.json,teccl/examples/results/multicast_tree_pair_physical_25gb/detection_delay_boundary/status/dcn4wan_ddpp_delay_22_tau_3_next_delay_witness.json,INFEASIBLE,0,0,0,,,0,False,False,,
InterDC8,DPP,boundary,2,4.0,0,OPTIMAL,0.29586315155029297,,EXACT,teccl/examples/results/multicast_tree_pair_physical_25gb/detection_delay_boundary/inputs/interdc8_dpp_delay_2_tau_0_boundary.json,teccl/examples/results/multicast_tree_pair_physical_25gb/detection_delay_boundary/status/interdc8_dpp_delay_2_tau_0_boundary.json,FEASIBLE,26,25,127,127,0,209,True,True,,teccl/examples/results/multicast_tree_pair_physical_25gb/detection_delay_boundary/schedules/interdc8_dpp_delay_2_tau_0_boundary.json
InterDC8,DPP,boundary,2,4.0,1,OPTIMAL,0.24622702598571777,,EXACT,teccl/examples/results/multicast_tree_pair_physical_25gb/detection_delay_boundary/inputs/interdc8_dpp_delay_2_tau_1_boundary.json,teccl/examples/results/multicast_tree_pair_physical_25gb/detection_delay_boundary/status/interdc8_dpp_delay_2_tau_1_boundary.json,FEASIBLE,26,23,71,71,0,144,True,True,,teccl/examples/results/multicast_tree_pair_physical_25gb/detection_delay_boundary/schedules/interdc8_dpp_delay_2_tau_1_boundary.json
InterDC8,DPP,boundary,2,4.0,2,OPTIMAL,0.2418060302734375,,EXACT,teccl/examples/results/multicast_tree_pair_physical_25gb/detection_delay_boundary/inputs/interdc8_dpp_delay_2_tau_2_boundary.json,teccl/examples/results/multicast_tree_pair_physical_25gb/detection_delay_boundary/status/interdc8_dpp_delay_2_tau_2_boundary.json,FEASIBLE,26,22,65,65,0,137,True,True,,teccl/examples/results/multicast_tree_pair_physical_25gb/detection_delay_boundary/schedules/interdc8_dpp_delay_2_tau_2_boundary.json
InterDC8,DPP,boundary,2,4.0,3,OPTIMAL,0.24955511093139648,,EXACT,teccl/examples/results/multicast_tree_pair_physical_25gb/detection_delay_boundary/inputs/interdc8_dpp_delay_2_tau_3_boundary.json,teccl/examples/results/multicast_tree_pair_physical_25gb/detection_delay_boundary/status/interdc8_dpp_delay_2_tau_3_boundary.json,FEASIBLE,26,18,28,28,0,79,True,True,,teccl/examples/results/multicast_tree_pair_physical_25gb/detection_delay_boundary/schedules/interdc8_dpp_delay_2_tau_3_boundary.json
InterDC8,DPP,boundary,2,4.0,4,OPTIMAL,0.24928712844848633,,EXACT,teccl/examples/results/multicast_tree_pair_physical_25gb/detection_delay_boundary/inputs/interdc8_dpp_delay_2_tau_4_boundary.json,teccl/examples/results/multicast_tree_pair_physical_25gb/detection_delay_boundary/status/interdc8_dpp_delay_2_tau_4_boundary.json,FEASIBLE,26,16,20,20,0,61,True,True,,teccl/examples/results/multicast_tree_pair_physical_25gb/detection_delay_boundary/schedules/interdc8_dpp_delay_2_tau_4_boundary.json
InterDC8,DPP,boundary,2,4.0,5,OPTIMAL,0.2527039051055908,,EXACT,teccl/examples/results/multicast_tree_pair_physical_25gb/detection_delay_boundary/inputs/interdc8_dpp_delay_2_tau_5_boundary.json,teccl/examples/results/multicast_tree_pair_physical_25gb/detection_delay_boundary/status/interdc8_dpp_delay_2_tau_5_boundary.json,FEASIBLE,26,3,3,3,0,11,True,True,,teccl/examples/results/multicast_tree_pair_physical_25gb/detection_delay_boundary/schedules/interdc8_dpp_delay_2_tau_5_boundary.json
InterDC8,DPP,next_delay_witness,3,6.0,5,INFEASIBLE,0.22315716743469238,,EXACT,teccl/examples/results/multicast_tree_pair_physical_25gb/detection_delay_boundary/inputs/interdc8_dpp_delay_3_tau_5_next_delay_witness.json,teccl/examples/results/multicast_tree_pair_physical_25gb/detection_delay_boundary/status/interdc8_dpp_delay_3_tau_5_next_delay_witness.json,INFEASIBLE,0,0,0,,,0,False,False,,
InterDC8,DDPP,boundary,22,44.0,0,OPTIMAL,0.2515289783477783,,EXACT,teccl/examples/results/multicast_tree_pair_physical_25gb/detection_delay_boundary/inputs/interdc8_ddpp_delay_22_tau_0_boundary.json,teccl/examples/results/multicast_tree_pair_physical_25gb/detection_delay_boundary/status/interdc8_ddpp_delay_22_tau_0_boundary.json,FEASIBLE,26,25,127,127,0,209,True,True,,teccl/examples/results/multicast_tree_pair_physical_25gb/detection_delay_boundary/schedules/interdc8_ddpp_delay_22_tau_0_boundary.json
InterDC8,DDPP,boundary,22,44.0,1,OPTIMAL,0.24303007125854492,,EXACT,teccl/examples/results/multicast_tree_pair_physical_25gb/detection_delay_boundary/inputs/interdc8_ddpp_delay_22_tau_1_boundary.json,teccl/examples/results/multicast_tree_pair_physical_25gb/detection_delay_boundary/status/interdc8_ddpp_delay_22_tau_1_boundary.json,FEASIBLE,26,23,71,71,0,144,True,True,,teccl/examples/results/multicast_tree_pair_physical_25gb/detection_delay_boundary/schedules/interdc8_ddpp_delay_22_tau_1_boundary.json
InterDC8,DDPP,boundary,22,44.0,2,OPTIMAL,0.24927091598510742,,EXACT,teccl/examples/results/multicast_tree_pair_physical_25gb/detection_delay_boundary/inputs/interdc8_ddpp_delay_22_tau_2_boundary.json,teccl/examples/results/multicast_tree_pair_physical_25gb/detection_delay_boundary/status/interdc8_ddpp_delay_22_tau_2_boundary.json,FEASIBLE,26,22,65,65,0,137,True,True,,teccl/examples/results/multicast_tree_pair_physical_25gb/detection_delay_boundary/schedules/interdc8_ddpp_delay_22_tau_2_boundary.json
InterDC8,DDPP,boundary,22,44.0,3,OPTIMAL,0.3226749897003174,,EXACT,teccl/examples/results/multicast_tree_pair_physical_25gb/detection_delay_boundary/inputs/interdc8_ddpp_delay_22_tau_3_boundary.json,teccl/examples/results/multicast_tree_pair_physical_25gb/detection_delay_boundary/status/interdc8_ddpp_delay_22_tau_3_boundary.json,FEASIBLE,26,18,28,28,0,79,True,True,,teccl/examples/results/multicast_tree_pair_physical_25gb/detection_delay_boundary/schedules/interdc8_ddpp_delay_22_tau_3_boundary.json
InterDC8,DDPP,boundary,22,44.0,4,OPTIMAL,0.24207401275634766,,EXACT,teccl/examples/results/multicast_tree_pair_physical_25gb/detection_delay_boundary/inputs/interdc8_ddpp_delay_22_tau_4_boundary.json,teccl/examples/results/multicast_tree_pair_physical_25gb/detection_delay_boundary/status/interdc8_ddpp_delay_22_tau_4_boundary.json,FEASIBLE,26,16,20,20,0,61,True,True,,teccl/examples/results/multicast_tree_pair_physical_25gb/detection_delay_boundary/schedules/interdc8_ddpp_delay_22_tau_4_boundary.json
InterDC8,DDPP,boundary,22,44.0,5,OPTIMAL,0.24421310424804688,,EXACT,teccl/examples/results/multicast_tree_pair_physical_25gb/detection_delay_boundary/inputs/interdc8_ddpp_delay_22_tau_5_boundary.json,teccl/examples/results/multicast_tree_pair_physical_25gb/detection_delay_boundary/status/interdc8_ddpp_delay_22_tau_5_boundary.json,FEASIBLE,26,3,3,3,0,11,True,True,,teccl/examples/results/multicast_tree_pair_physical_25gb/detection_delay_boundary/schedules/interdc8_ddpp_delay_22_tau_5_boundary.json
InterDC8,DDPP,next_delay_witness,23,46.0,5,INFEASIBLE,0.22600221633911133,,EXACT,teccl/examples/results/multicast_tree_pair_physical_25gb/detection_delay_boundary/inputs/interdc8_ddpp_delay_23_tau_5_next_delay_witness.json,teccl/examples/results/multicast_tree_pair_physical_25gb/detection_delay_boundary/status/interdc8_ddpp_delay_23_tau_5_next_delay_witness.json,INFEASIBLE,0,0,0,,,0,False,False,,
