topology,policy,failure_epoch_zero_based,classification,solver_status,solver_runtime_seconds,solver_mip_gap,failure_scenarios,affected_scenarios,affected_demands,protected_demands,unprotected_demands,reserved_slots,recovery_flows,audit_passed,audit_failures,schedule_file
DCN4WAN,DPP,0,FEASIBLE,OPTIMAL,0.24630212783813477,,32,24,32,32,0,24,96,True,,teccl/examples/results/multicast_tree_pair_physical_25gb/failure_time_sweep/schedules/dcn4wan_dpp_tau_0.json
DCN4WAN,DPP,1,FEASIBLE,OPTIMAL,0.2409379482269287,,32,16,20,20,0,24,64,True,,teccl/examples/results/multicast_tree_pair_physical_25gb/failure_time_sweep/schedules/dcn4wan_dpp_tau_1.json
DCN4WAN,DPP,2,FEASIBLE,OPTIMAL,0.24704909324645996,,32,12,12,12,0,24,40,True,,teccl/examples/results/multicast_tree_pair_physical_25gb/failure_time_sweep/schedules/dcn4wan_dpp_tau_2.json
DCN4WAN,DPP,3,FEASIBLE,OPTIMAL,0.2548360824584961,,32,4,4,4,0,24,16,True,,teccl/examples/results/multicast_tree_pair_physical_25gb/failure_time_sweep/schedules/dcn4wan_dpp_tau_3.json
DCN4WAN,DPP,4,FEASIBLE,OPTIMAL,0.24331903457641602,,32,0,0,0,0,24,0,True,,teccl/examples/results/multicast_tree_pair_physical_25gb/failure_time_sweep/schedules/dcn4wan_dpp_tau_4.json
DCN4WAN,DDPP,0,FEASIBLE,OPTIMAL,0.260883092880249,,32,24,32,32,0,24,96,True,,teccl/examples/results/multicast_tree_pair_physical_25gb/failure_time_sweep/schedules/dcn4wan_ddpp_tau_0.json
DCN4WAN,DDPP,1,FEASIBLE,OPTIMAL,0.25893497467041016,,32,16,20,20,0,24,64,True,,teccl/examples/results/multicast_tree_pair_physical_25gb/failure_time_sweep/schedules/dcn4wan_ddpp_tau_1.json
DCN4WAN,DDPP,2,FEASIBLE,OPTIMAL,0.2653958797454834,,32,12,12,12,0,24,40,True,,teccl/examples/results/multicast_tree_pair_physical_25gb/failure_time_sweep/schedules/dcn4wan_ddpp_tau_2.json
DCN4WAN,DDPP,3,FEASIBLE,OPTIMAL,0.25885820388793945,,32,4,4,4,0,24,16,True,,teccl/examples/results/multicast_tree_pair_physical_25gb/failure_time_sweep/schedules/dcn4wan_ddpp_tau_3.json
DCN4WAN,DDPP,4,FEASIBLE,OPTIMAL,0.24986696243286133,,32,0,0,0,0,24,0,True,,teccl/examples/results/multicast_tree_pair_physical_25gb/failure_time_sweep/schedules/dcn4wan_ddpp_tau_4.json
