topology,failure_epoch_zero_based,strategy,directed_link_scenarios,scenarios_with_affected_commodities,mean_affected_commodities,max_affected_commodities,provisioned_backup_occupied_link_seconds,mean_activated_backup_occupied_link_seconds_all,mean_activated_backup_occupied_link_seconds_when_affected,max_activated_backup_occupied_link_seconds,mean_failure_execution_backup_occupied_link_seconds_all,mean_failure_execution_backup_occupied_link_seconds_when_affected,max_failure_execution_backup_occupied_link_seconds,mean_completion_seconds_all,mean_completion_seconds_when_affected,max_completion_seconds
DCN4WAN,0,Dedicated Protection,16,16,1.5,2,34.0,12.75,12.75,18.0,34.0,34.0,34.0,8.75,8.75,9.0
DCN4WAN,0,Preplanned Deferred Protection,16,16,1.5,2,32.0,12.0,12.0,16.0,12.0,12.0,16.0,24.75,24.75,27.0
DCN4WAN,1,Dedicated Protection,16,13,1.0625,2,34.0,9.125,11.23076923076923,18.0,34.0,34.0,34.0,8.5625,8.692307692307692,9.0
DCN4WAN,1,Preplanned Deferred Protection,16,13,1.0625,2,32.0,8.5,10.461538461538462,16.0,8.5,10.461538461538462,16.0,21.4375,24.53846153846154,27.0
DCN4WAN,2,Dedicated Protection,16,13,1.0625,2,34.0,9.125,11.23076923076923,18.0,34.0,34.0,34.0,8.5625,8.692307692307692,9.0
DCN4WAN,2,Preplanned Deferred Protection,16,13,1.0625,2,32.0,8.5,10.461538461538462,16.0,8.5,10.461538461538462,16.0,21.4375,24.53846153846154,27.0
DCN4WAN,3,Dedicated Protection,16,10,0.625,1,34.0,5.5,8.8,10.0,34.0,34.0,34.0,8.375,8.6,9.0
DCN4WAN,3,Preplanned Deferred Protection,16,10,0.625,1,32.0,5.0,8.0,8.0,5.0,8.0,8.0,18.125,24.2,27.0
DCN4WAN,4,Dedicated Protection,16,10,0.625,1,34.0,5.5,8.8,10.0,34.0,34.0,34.0,8.375,8.6,9.0
DCN4WAN,4,Preplanned Deferred Protection,16,10,0.625,1,32.0,5.0,8.0,8.0,5.0,8.0,8.0,18.125,24.2,27.0
DCN4WAN,5,Dedicated Protection,16,5,0.3125,1,34.0,2.75,8.8,10.0,34.0,34.0,34.0,8.1875,8.6,9.0
DCN4WAN,5,Preplanned Deferred Protection,16,5,0.3125,1,32.0,2.5,8.0,8.0,2.5,8.0,8.0,13.0625,24.2,27.0
DCN4WAN,6,Dedicated Protection,16,5,0.3125,1,34.0,2.75,8.8,10.0,34.0,34.0,34.0,8.1875,8.6,9.0
DCN4WAN,6,Preplanned Deferred Protection,16,5,0.3125,1,32.0,2.5,8.0,8.0,2.5,8.0,8.0,13.0625,24.2,27.0
DCN4WAN,7,Dedicated Protection,16,0,0.0,0,34.0,0.0,0.0,0.0,34.0,0.0,34.0,8.0,,8.0
DCN4WAN,7,Preplanned Deferred Protection,16,0,0.0,0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,,8.0
InterDC8,0,Dedicated Protection,24,24,2.3333333333333335,4,93.0,27.125,27.125,48.0,93.0,93.0,93.0,17.583333333333332,17.583333333333332,18.0
